unicode,gb2312,Chinese,id
0x4F10,0xB7A5,伐,662
0x4E4F,0xB7A6,乏,663
0x9600,0xB7A7,阀,664
0x6CD5,0xB7A8,法,665
0x73D0,0xB7A9,珐,666
0x85E9,0xB7AA,藩,667
0x5E06,0xB7AB,帆,668
0x756A,0xB7AC,番,669
0x7FFB,0xB7AD,翻,670
0x6A0A,0xB7AE,樊,671
0x77FE,0xB7AF,矾,672
0x9492,0xB7B0,钒,673
0x7E41,0xB7B1,繁,674
0x51E1,0xB7B2,凡,675
0x70E6,0xB7B3,烦,676
0x53CD,0xB7B4,反,677
0x8FD4,0xB7B5,返,678
0x8303,0xB7B6,范,679
0x8D29,0xB7B7,贩,680
0x72AF,0xB7B8,犯,681
0x996D,0xB7B9,饭,682
0x6CDB,0xB7BA,泛,683
0x574A,0xB7BB,坊,684
0x82B3,0xB7BC,芳,685
0x65B9,0xB7BD,方,686
0x80AA,0xB7BE,肪,687
0x623F,0xB7BF,房,688
0x9632,0xB7C0,防,689
0x59A8,0xB7C1,妨,690
0x4EFF,0xB7C2,仿,691
0x8BBF,0xB7C3,访,692
0x7EBA,0xB7C4,纺,693
0x653E,0xB7C5,放,694
0x83F2,0xB7C6,菲,695
0x975E,0xB7C7,非,696
0x5561,0xB7C8,啡,697
0x98DE,0xB7C9,飞,698
0x80A5,0xB7CA,肥,699
0x532A,0xB7CB,匪,700
0x8BFD,0xB7CC,诽,701
0x5420,0xB7CD,吠,702
0x80BA,0xB7CE,肺,703
0x5E9F,0xB7CF,废,704
0x6CB8,0xB7D0,沸,705
0x8D39,0xB7D1,费,706
0x82AC,0xB7D2,芬,707
0x915A,0xB7D3,酚,708
0x5429,0xB7D4,吩,709
0x6C1B,0xB7D5,氛,710
0x5206,0xB7D6,分,711
0x7EB7,0xB7D7,纷,712
0x575F,0xB7D8,坟,713
0x711A,0xB7D9,焚,714
0x6C7E,0xB7DA,汾,715
0x7C89,0xB7DB,粉,716
0x594B,0xB7DC,奋,717
0x4EFD,0xB7DD,份,718
0x5FFF,0xB7DE,忿,719
0x6124,0xB7DF,愤,720
0x7CAA,0xB7E0,粪,721
0x4E30,0xB7E1,丰,722
0x5C01,0xB7E2,封,723
0x67AB,0xB7E3,枫,724
0x8702,0xB7E4,蜂,725
0x5CF0,0xB7E5,峰,726
0x950B,0xB7E6,锋,727
0x98CE,0xB7E7,风,728
0x75AF,0xB7E8,疯,729
0x70FD,0xB7E9,烽,730
0x9022,0xB7EA,逢,731
0x51AF,0xB7EB,冯,732
0x7F1D,0xB7EC,缝,733
0x8BBD,0xB7ED,讽,734
0x5949,0xB7EE,奉,735
0x51E4,0xB7EF,凤,736
0x4F5B,0xB7F0,佛,737
0x5426,0xB7F1,否,738
0x592B,0xB7F2,夫,739
0x6577,0xB7F3,敷,740
0x80A4,0xB7F4,肤,741
0x5B75,0xB7F5,孵,742
0x6276,0xB7F6,扶,743
0x62C2,0xB7F7,拂,744
0x8F90,0xB7F8,辐,745
0x5E45,0xB7F9,幅,746
0x6C1F,0xB7FA,氟,747
0x7B26,0xB7FB,符,748
0x4F0F,0xB7FC,伏,749
0x4FD8,0xB7FD,俘,750
0x670D,0xB7FE,服,751
0x6D6E,0xB8A1,浮,752
0x6DAA,0xB8A2,涪,753
0x798F,0xB8A3,福,754
0x88B1,0xB8A4,袱,755
0x5F17,0xB8A5,弗,756
0x752B,0xB8A6,甫,757
0x629A,0xB8A7,抚,758
0x8F85,0xB8A8,辅,759
0x4FEF,0xB8A9,俯,760
0x91DC,0xB8AA,釜,761
0x65A7,0xB8AB,斧,762
0x812F,0xB8AC,脯,763
0x8151,0xB8AD,腑,764
0x5E9C,0xB8AE,府,765
0x8150,0xB8AF,腐,766
0x8D74,0xB8B0,赴,767
0x526F,0xB8B1,副,768
0x8986,0xB8B2,覆,769
0x8D4B,0xB8B3,赋,770
0x590D,0xB8B4,复,771
0x5085,0xB8B5,傅,772
0x4ED8,0xB8B6,付,773
0x961C,0xB8B7,阜,774
0x7236,0xB8B8,父,775
0x8179,0xB8B9,腹,776
0x8D1F,0xB8BA,负,777
0x5BCC,0xB8BB,富,778
0x8BA3,0xB8BC,讣,779
0x9644,0xB8BD,附,780
0x5987,0xB8BE,妇,781
0x7F1A,0xB8BF,缚,782
0x5490,0xB8C0,咐,783
0x5676,0xB8C1,噶,784
0x560E,0xB8C2,嘎,785
0x8BE5,0xB8C3,该,786
0x6539,0xB8C4,改,787
0x6982,0xB8C5,概,788
