unicode,gb2312,Chinese,stroke number,id
0x88D4,0xD2E1,裔,13,3260
0x610F,0xD2E2,意,13,3261
0x6BC5,0xD2E3,毅,15,3262
0x5FC6,0xD2E4,忆,4,3263
0x4E49,0xD2E5,义,3,3264
0x76CA,0xD2E6,益,10,3265
0x6EA2,0xD2E7,溢,13,3266
0x8BE3,0xD2E8,诣,8,3267
0x8BAE,0xD2E9,议,5,3268
0x8C0A,0xD2EA,谊,10,3269
0x8BD1,0xD2EB,译,7,3270
0x5F02,0xD2EC,异,6,3271
0x7FFC,0xD2ED,翼,17,3272
0x7FCC,0xD2EE,翌,11,3273
0x7ECE,0xD2EF,绎,8,3274
0x8335,0xD2F0,茵,9,3275
0x836B,0xD2F1,荫,9,3276
0x56E0,0xD2F2,因,6,3277
0x6BB7,0xD2F3,殷,10,3278
0x97F3,0xD2F4,音,9,3279
0x9634,0xD2F5,阴,6,3280
0x59FB,0xD2F6,姻,8,3281
0x541F,0xD2F7,吟,7,3282
0x94F6,0xD2F8,银,11,3283
0x6DEB,0xD2F9,淫,11,3284
0x5BC5,0xD2FA,寅,11,3285
0x996E,0xD2FB,饮,7,3286
0x5C39,0xD2FC,尹,4,3287
0x5F15,0xD2FD,引,4,3288
0x9690,0xD2FE,隐,11,3289
0x5370,0xD3A1,印,5,3290
0x82F1,0xD3A2,英,8,3291
0x6A31,0xD3A3,樱,15,3292
0x5A74,0xD3A4,婴,11,3293
0x9E70,0xD3A5,鹰,18,3294
0x5E94,0xD3A6,应,7,3295
0x7F28,0xD3A7,缨,14,3296
0x83B9,0xD3A8,莹,10,3297
0x8424,0xD3A9,萤,11,3298
0x8425,0xD3AA,营,11,3299
0x8367,0xD3AB,荧,9,3300
0x8747,0xD3AC,蝇,14,3301
0x8FCE,0xD3AD,迎,7,3302
0x8D62,0xD3AE,赢,17,3303
0x76C8,0xD3AF,盈,9,3304
0x5F71,0xD3B0,影,15,3305
0x9896,0xD3B1,颖,13,3306
0x786C,0xD3B2,硬,12,3307
0x6620,0xD3B3,映,9,3308
0x54DF,0xD3B4,哟,9,3309
0x62E5,0xD3B5,拥,8,3310
0x4F63,0xD3B6,佣,7,3311
0x81C3,0xD3B7,臃,17,3312
0x75C8,0xD3B8,痈,10,3313
0x5EB8,0xD3B9,庸,11,3314
0x96CD,0xD3BA,雍,13,3315
0x8E0A,0xD3BB,踊,14,3316
0x86F9,0xD3BC,蛹,13,3317
0x548F,0xD3BD,咏,8,3318
0x6CF3,0xD3BE,泳,8,3319
0x6D8C,0xD3BF,涌,10,3320
0x6C38,0xD3C0,永,5,3321
0x607F,0xD3C1,恿,11,3322
0x52C7,0xD3C2,勇,9,3323
0x7528,0xD3C3,用,5,3324
